({b"H'\xe2\r\x80h": [-67, 4555602]}, ': ', b'sleep=0 | counter=122 | timeElap=HR=0 min=2, sec=7') 
({b"H'\xe2\r\x80h": [-67, 4555605]}, ': ', b'sleep=2 | counter=123 | timeElap=HR=0 min=2, sec=7') 
({b"H'\xe2\r\x80h": [-67, 4559344]}, ': ', b'sleep=1 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-67, 4560816]}, ': ', b'sleep=0 | counter=2 | timeElap=HR=0 min=0, sec=1') 
({b"H'\xe2\r\x80h": [-67, 4561056]}, ': ', b'sleep=0 | counter=3 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-65, 4561288]}, ': ', b'sleep=2 | counter=4 | timeElap=HR=0 min=0, sec=2') 
({b"H'\xe2\r\x80h": [-67, 4563516]}, ': ', b'sleep=0 | counter=5 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-66, 4563756]}, ': ', b'sleep=0 | counter=6 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-67, 4563988]}, ': ', b'sleep=1 | counter=7 | timeElap=HR=0 min=0, sec=5') 
({b"H'\xe2\r\x80h": [-66, 4565216]}, ': ', b'sleep=1 | counter=8 | timeElap=HR=0 min=0, sec=6') 
({b"H'\xe2\r\x80h": [-67, 4586684]}, ': ', b'sleep=149 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-67, 4595364]}, ': ', b'sleep=152 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-67, 4596914]}, ': ', b'sleep=66 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-67, 4611534]}, ': ', b'sleep=4 | counter=1 | timeElap=HR=0 min=0, sec=0') 
({b"H'\xe2\r\x80h": [-67, 4615776]}, ': ', b'sleep=4 | counter=2 | timeElap=HR=0 min=0, sec=4') 
({b"H'\xe2\r\x80h": [-67, 4620016]}, ': ', b'sleep=4 | counter=3 | timeElap=HR=0 min=0, sec=8') 
({b"H'\xe2\r\x80h": [-67, 4624256]}, ': ', b'sleep=4 | counter=4 | timeElap=HR=0 min=0, sec=13') 
({b"H'\xe2\r\x80h": [-67, 4645456]}, ': ', b'sleep=4 | counter=9 | timeElap=HR=0 min=0, sec=34') 
({b"H'\xe2\r\x80h": [-72, 4649696]}, ': ', b'sleep=4 | counter=10 | timeElap=HR=0 min=0, sec=38') 
