785972786 || 

 NEW INTSTANCE | tNow=785972786
 
785972788 || IRQ Setup 
785972788 || awaiting 10s 
785972796 || 

 NEW INTSTANCE | tNow=785972796
 
785972798 || IRQ Setup 
785972798 || awaiting 10s 
785972800 || 

 NEW INTSTANCE | tNow=785972800
 
785972802 || IRQ Setup 
785972802 || awaiting 10s 
785972833 || 

 NEW INTSTANCE | tNow=785972833
 
785972835 || IRQ Setup 
785972835 || awaiting 10s 
785972840 || 

 NEW INTSTANCE | tNow=785972840
 
785972842 || IRQ Setup 
785972842 || awaiting 10s 
785972848 || 

 NEW INTSTANCE | tNow=785972848
 
785972850 || IRQ Setup 
785972850 || awaiting 10s 
785972955 || 

 NEW INTSTANCE | tNow=785972955
 
785972957 || IRQ Setup 
785972957 || awaiting 10s 
785972962 || 

 NEW INTSTANCE | tNow=785972962
 
785972964 || IRQ Setup 
785972964 || awaiting 10s 
785973006 || start espTX 
785973006 || start espTX 
785973006 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973007 || start espTX 
785973008 || start espTX 
785973010 || start espTX 
785973010 || start espTX 
785973010 || start espTX 
785973010 || start espTX 
785973010 || start espTX 
785973011 || start espTX 
785973011 || start espTX 
785973011 || start espTX 
785973011 || start espTX 
785973011 || start espTX 
785973011 || start espTX 
785973012 || start espTX 
785973012 || start espTX 
785973013 || start espTX 
785973013 || start espTX 
785973013 || start espTX 
785973013 || start espTX 
785973013 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973014 || start espTX 
785973015 || start espTX 
785973015 || start espTX 
785973015 || start espTX 
785973019 || start espTX 
785973102 || 

 NEW INTSTANCE | tNow=785973102
 
785973104 || IRQ Setup 
785973104 || awaiting 10s 
785973113 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973114 || start espTX 
785973115 || awaiting 10s 
785973125 || awaiting 10s 
785973135 || awaiting 10s 
785973145 || awaiting 10s 
785973155 || awaiting 10s 
785973175 || 

 NEW INTSTANCE | tNow=785973175
 
785973177 || IRQ Setup 
785973177 || awaiting 10s 
785973179 || start espTX 
785973179 || start espTX 
785973179 || start espTX 
785973180 || start espTX 
785973180 || start espTX 
785973180 || start espTX 
785973181 || start espTX 
785973181 || start espTX 
785973181 || start espTX 
785973181 || start espTX 
785973181 || start espTX 
785973187 || awaiting 10s 
785973191 || 

 NEW INTSTANCE | tNow=785973191
 
785973193 || IRQ Setup 
785973193 || awaiting 10s 
785973203 || awaiting 10s 
785973213 || awaiting 10s 
785973223 || awaiting 10s 
785973234 || awaiting 10s 
785973244 || awaiting 10s 
785973254 || awaiting 10s 
785973264 || awaiting 10s 
785973272 || 

 NEW INTSTANCE | tNow=785973272
 
785973274 || IRQ Setup 
785973274 || awaiting 10s 
785973274 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973275 || start espTX 
785973276 || start espTX 
785973276 || start espTX 
785973280 || 

 NEW INTSTANCE | tNow=785973280
 
785973282 || IRQ Setup 
785973283 || awaiting 10s 
785973283 || start espTX 
785973283 || end espTX 
785973284 || start espTX 
785973284 || end espTX 
785973284 || start espTX 
785973284 || end espTX 
785973284 || start espTX 
785973284 || end espTX 
785973284 || start espTX 
785973285 || end espTX 
785973285 || start espTX 
785973285 || end espTX 
785973285 || start espTX 
785973285 || end espTX 
785973285 || start espTX 
785973285 || end espTX 
785973286 || start espTX 
785973286 || end espTX 
785973293 || awaiting 10s 
785973303 || awaiting 10s 
785973314 || awaiting 10s 
785973324 || awaiting 10s 
785973328 || 

 NEW INTSTANCE | tNow=785973328
 
785973330 || IRQ Setup 
785973330 || awaiting 10s: kA=3 
785973330 || start espTX 
785973331 || end espTX 
785973331 || start espTX 
785973331 || end espTX 
785973331 || start espTX 
785973331 || end espTX 
785973331 || start espTX 
785973331 || end espTX 
785973331 || start espTX 
785973331 || end espTX 
785973331 || start espTX 
785973331 || end espTX 
785973340 || awaiting 10s: kA=3 
785973350 || awaiting 10s: kA=6 
785973360 || awaiting 10s: kA=9 
785973370 || awaiting 10s: kA=12 
785973380 || Going to deepsleep: kA=12 
785973679 || 

 NEW INTSTANCE | tNow=785973679
 
785973701 || 

 NEW INTSTANCE | tNow=785973701
 
785973727 || 

 NEW INTSTANCE | tNow=785973727
 
785973868 || 

 NEW INTSTANCE | tNow=785973868
 
785973871 || awaiting sleep: kA=3 
785973874 || start espTX 
785973874 || end espTX 
785973874 || start espTX 
785973874 || end espTX 
785973874 || start espTX 
785973874 || end espTX 
785973875 || start espTX 
785973875 || end espTX 
785973881 || awaiting sleep: kA=3 
785973891 || awaiting sleep: kA=6 
785973905 || 

 NEW INTSTANCE | tNow=785973905
 
785973907 || awaiting sleep: kA=3 
785973910 || start espTX 
785973910 || end espTX 
785973910 || start espTX 
785973910 || end espTX 
785973910 || start espTX 
785973911 || end espTX 
785973911 || start espTX 
785973911 || end espTX 
785973911 || start espTX 
785973912 || end espTX 
785973912 || start espTX 
785973912 || end espTX 
785973912 || start espTX 
785973912 || end espTX 
785973912 || start espTX 
785973912 || end espTX 
785973912 || start espTX 
785973912 || end espTX 
785973912 || start espTX 
785973913 || end espTX 
785973913 || start espTX 
785973913 || end espTX 
785973917 || awaiting sleep: kA=3 
785973927 || awaiting sleep: kA=6 
785973931 || 

 NEW INTSTANCE | tNow=785973931
 
785973933 || awaiting sleep: kA=3 
785973943 || awaiting sleep: kA=6 
785973953 || awaiting sleep: kA=9 
785973964 || Going to lightsleep: kA=9 
785974157 || 

 NEW INTSTANCE | tNow=785974157
 
785974159 || awaiting sleep: kA=3 
785974171 || 

 NEW INTSTANCE | tNow=785974171
 
785974173 || awaiting sleep: kA=3 
785974183 || awaiting sleep: kA=6 
785974194 || Going to lightsleep: kA=6 
785974312 || 

 NEW INTSTANCE | tNow=785974312
 
785974380 || 

 NEW INTSTANCE | tNow=785974380
 
785974383 || awaiting sleep: kA=3 
785974393 || Going to lightsleep: kA=3 
785974423 || 

 NEW INTSTANCE | tNow=785974423
 
785974426 || start espTX 
785974426 || start espTX 
785974426 || end espTX 
785974426 || start espTX 
785974426 || end espTX 
785974426 || start espTX 
785974426 || end espTX 
785974427 || start espTX 
785974427 || end espTX 
785974427 || start espTX 
785974427 || end espTX 
785974428 || awaiting sleep: kA=3 
785974431 || start espTX 
785974431 || end espTX 
785974431 || start espTX 
785974431 || end espTX 
785974431 || start espTX 
785974432 || end espTX 
785974432 || start espTX 
785974432 || end espTX 
785974432 || start espTX 
785974432 || end espTX 
785974432 || start espTX 
785974432 || end espTX 
785974432 || start espTX 
785974433 || end espTX 
785974433 || start espTX 
785974433 || end espTX 
785974433 || start espTX 
785974433 || end espTX 
785974433 || start espTX 
785974433 || end espTX 
785974434 || start espTX 
785974434 || end espTX 
785974434 || start espTX 
785974434 || end espTX 
785974434 || start espTX 
785974434 || end espTX 
785974438 || awaiting sleep: kA=3 
785974448 || Going to lightsleep: kA=3 
785974503 || 

 NEW INTSTANCE | tNow=785974503
 
785974505 || awaiting sleep: kA=3 
785974508 || start espTX 
785974508 || end espTX 
785974508 || start espTX 
785974509 || end espTX 
785974509 || start espTX 
785974509 || end espTX 
785974509 || start espTX 
785974509 || end espTX 
785974509 || start espTX 
785974509 || end espTX 
785974510 || start espTX 
785974510 || end espTX 
785974510 || start espTX 
785974510 || end espTX 
785974510 || start espTX 
785974510 || end espTX 
785974512 || start espTX 
785974512 || end espTX 
785974512 || start espTX 
785974513 || end espTX 
785974513 || start espTX 
785974513 || end espTX 
785974513 || start espTX 
785974513 || end espTX 
785974513 || start espTX 
785974513 || end espTX 
785974513 || start espTX 
785974514 || end espTX 
785974514 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974515 || end espTX 
785974515 || start espTX 
785974516 || end espTX 
785974516 || start espTX 
785974516 || end espTX 
785974516 || start espTX 
785974516 || end espTX 
785974516 || start espTX 
785974516 || end espTX 
785974516 || awaiting sleep: kA=3 
785974526 || Going to lightsleep: kA=3 
785974543 || 

 NEW INTSTANCE | tNow=785974543
 
785974545 || awaiting sleep: kA=3 
785974547 || start espTX 
785974547 || end espTX 
785974547 || start espTX 
785974547 || end espTX 
785974547 || start espTX 
785974547 || end espTX 
785974547 || start espTX 
785974548 || end espTX 
785974548 || start espTX 
785974548 || end espTX 
785974548 || start espTX 
785974548 || end espTX 
785974548 || start espTX 
785974548 || end espTX 
785974548 || start espTX 
785974548 || end espTX 
785974549 || start espTX 
785974549 || end espTX 
